Year,Municipality,Population,Mortality_per_1000,Infant_mortality_per_1000,Births_per_1000,Unemployed_total,Average_income,Pharmacies_total,Total_crimes,Marriages_per_1000,Divorces_per_1000
2024.0,Montijo,60612.0,9.2,3.2,10.3,2091.0,1206.1,14.0,2324.0,2.7,1.6
2024.0,Mora,4161.0,19.2,0.0,5.8,61.0,1142.3,5.0,118.0,3.8,1.4
2024.0,Mortagua,9104.0,17.3,0.0,5.0,106.0,1337.1,4.0,210.0,2.8,1.1
2024.0,Moura,13331.0,15.2,0.0,8.9,894.0,1137.2,11.0,421.0,3.3,1.4
2024.0,Mourao,2432.0,21.4,0.0,7.4,175.0,1142.2,2.0,157.0,0.8,1.2
2024.0,Murca,5229.0,20.8,0.0,4.0,332.0,1150.0,2.0,112.0,4.6,2.3
2024.0,Murtosa,11360.0,11.3,0.0,7.2,199.0,1125.2,4.0,355.0,8.8,1.6
2024.0,Nazare,15856.0,11.2,0.0,8.6,384.0,1225.7,6.0,604.0,10.0,1.4
2024.0,Nelas,13508.0,13.7,0.0,7.2,368.0,1305.6,6.0,333.0,2.3,1.2
2024.0,Nisa,5633.0,32.2,0.0,5.3,176.0,1036.6,5.0,165.0,2.3,1.4
2024.0,Nordeste,4439.0,12.4,0.0,5.9,,1005.8,2.0,120.0,4.3,1.8
2024.0,Obidos,13720.0,11.9,12.3,6.0,202.0,1242.8,5.0,365.0,5.1,1.2
2024.0,Odemira,33866.0,11.2,6.6,9.0,2437.0,1077.7,12.0,850.0,1.3,0.9
2024.0,Odivelas,156278.0,8.9,4.4,11.7,4075.0,1185.9,36.0,2803.0,,1.3
2024.0,Oeiras,177866.0,9.6,2.9,7.8,3933.0,2104.8,51.0,4729.0,4.2,1.3
2024.0,Oleiros,4912.0,23.5,0.0,5.3,61.0,1187.9,3.0,144.0,1.8,0.4
2024.0,Olhao,45452.0,12.4,2.9,7.5,1198.0,1165.5,10.0,2082.0,2.1,1.5
2024.0,Oliveira De Azemeis,67471.0,10.0,0.0,6.4,1718.0,1368.8,16.0,1234.0,2.3,1.7
2024.0,Oliveira De Frades,9840.0,12.3,16.9,6.0,245.0,1391.3,3.0,267.0,4.2,1.2
2024.0,Oliveira Do Bairro,25779.0,11.1,0.0,7.4,589.0,1302.7,7.0,889.0,5.1,2.3
2024.0,Oliveira Do Hospital,19610.0,11.8,6.6,7.8,614.0,1110.7,9.0,379.0,1.8,1.6
2024.0,Ourem,46988.0,13.0,0.0,7.1,735.0,1244.4,20.0,1252.0,4.1,1.7
